tutorId,tutorName,dayOfWeek,dayName,availableStartTime,availableEndTime,note
tutor1,강사1,0,월,13:00,17:00,월수금 오후 가능
tutor1,강사1,2,수,13:00,17:00,월수금 오후 가능
tutor1,강사1,4,금,13:00,17:00,월수금 오후 가능
tutor2,강사2,0,월,13:00,17:00,월수금 오후 가능
tutor2,강사2,2,수,13:00,17:00,월수금 오후 가능
tutor2,강사2,4,금,13:00,17:00,월수금 오후 가능
tutor3,강사3,1,화,14:00,19:00,화목 오후 가능
tutor3,강사3,3,목,14:00,19:00,화목 오후 가능
tutor4,강사4,1,화,14:00,19:00,화목 오후 가능
tutor4,강사4,3,목,14:00,19:00,화목 오후 가능
tutor5,강사5,0,월,18:00,22:00,평일 저녁 가능
tutor5,강사5,1,화,18:00,22:00,평일 저녁 가능
tutor5,강사5,2,수,18:00,22:00,평일 저녁 가능
tutor5,강사5,3,목,18:00,22:00,평일 저녁 가능
tutor5,강사5,4,금,18:00,22:00,평일 저녁 가능
tutor6,강사6,0,월,18:00,22:00,평일 저녁 가능
tutor6,강사6,1,화,18:00,22:00,평일 저녁 가능
tutor6,강사6,2,수,18:00,22:00,평일 저녁 가능
tutor6,강사6,3,목,18:00,22:00,평일 저녁 가능
tutor6,강사6,4,금,18:00,22:00,평일 저녁 가능
tutor7,강사7,0,월,19:00,23:00,월화수목 야간 가능
tutor7,강사7,1,화,19:00,23:00,월화수목 야간 가능
tutor7,강사7,2,수,19:00,23:00,월화수목 야간 가능
tutor7,강사7,3,목,19:00,23:00,월화수목 야간 가능
tutor8,강사8,0,월,19:00,23:00,월화수목 야간 가능
tutor8,강사8,1,화,19:00,23:00,월화수목 야간 가능
tutor8,강사8,2,수,19:00,23:00,월화수목 야간 가능
tutor8,강사8,3,목,19:00,23:00,월화수목 야간 가능
tutor9,강사9,0,월,15:00,18:00,평일 늦은 오후 가능
tutor9,강사9,1,화,15:00,18:00,평일 늦은 오후 가능
tutor9,강사9,2,수,15:00,18:00,평일 늦은 오후 가능
tutor9,강사9,3,목,15:00,18:00,평일 늦은 오후 가능
tutor9,강사9,4,금,15:00,18:00,평일 늦은 오후 가능
tutor10,강사10,0,월,15:00,18:00,평일 늦은 오후 가능
tutor10,강사10,1,화,15:00,18:00,평일 늦은 오후 가능
tutor10,강사10,2,수,15:00,18:00,평일 늦은 오후 가능
tutor10,강사10,3,목,15:00,18:00,평일 늦은 오후 가능
tutor10,강사10,4,금,15:00,18:00,평일 늦은 오후 가능
